id,nombre
3328,Ciudadela del Río
3329,Valle Grande
3330,Planta de Tratamiento
3331,Urbanización Ciudad Jardín
3332,Parcelaciones Pance
3333,Urbanización Río Lili
3334,Ciudad Campestre
3335,Club Campestre
4000,Comuna 1
4001,Comuna 2
4002,Comuna 3
4003,Comuna 4
4004,Comuna 5
4005,Comuna 6
4006,Comuna 7
4007,Comuna 8
4008,Comuna 9
4009,Comuna 10
4010,Comuna 11
4011,Comuna 12
4012,Comuna 13
4013,Comuna 14
4014,Comuna 15
4015,Comuna 16
4016,Comuna 17
4017,Comuna 18
4018,Comuna 19
4019,Comuna 20
4020,Comuna 21
4021,Comuna 22
5000,Navarro (Cabecera)
5001,El Estero
5002,Zona de reserva agrícola
5003,Jarillón Navarro
5004,El Hormiguero (Cabecera)
5005,Morgan
5006,La Paila
5007,Cauca Viejo
5008,Cascajal
5009,Zona de reserva agrícola
5010,La Vorágine
5011,Pance (Cabecera)
5012,San Francisco
5013,El Jardín
5014,Pico de Aguila
5015,El Banqueo
5016,El Peón
5017,La María
5018,Pance Suburbano (La Viga)
5019,La Buitrera (Cabecera)
5020,La Riverita
5021,El Rosario
5022,El Otoño
5023,Alto de Los Mangos
5024,La Luisa
5025,La Sirena
5026,Parque de La Bandera
5027,Cantaclaro
5028,Club Campestre
5029,Villacarmelo (Cabecera)
5030,La Fonda
5031,Dos Quebradas
5032,La Candelaria
5033,El Carmen
5034,La Sirena
5035,Los Andes (Cabecera)
5036,Los Cárpatos
5037,Quebrada Honda
5038,Pueblo Nuevo
5039,El Faro
5040,La Reforma - El Mango
5041,La Carolina - Los Andes Bajo
5042,El Cabuyal
5043,Atenas - Mameyal
5044,Mónaco
5045,Pichindé (Cabecera)
5046,Peñas Blancas
5047,Loma de La Cajita
5048,La Leonera (Cabecera)
5049,El Pato
5050,El Porvenir
5051,El Pajuil
5052,La Cajita
5053,Felidia (Cabecera)
5054,La Esperanza
5055,Las Nieves
5056,El Diamante
5057,Santa Helena
5058,El Saladito (Cabecera)
5059,San Antonio
5060,San Pablo
5061,San Miguel
5062,Montañuelas
5063,El Palomar
5064,El Cerezo
5065,Las Nieves
5066,La Elvira (Cabecera)
5067,Los Laureles
5068,Alto Aguacatal
5069,La Castilla (Cabecera)
5070,Las Palmas
5071,Los Limones
5072,Las Brisas
5073,El Futuro
5074,El Pinar
5075,Galeras
5076,La Paz (Cabecera)
5077,Villa del Rosario
5078,Lomitas
5079,Montebello (Cabecera)
5080,Campoalegre
5081,Aguacatal
5082,Golondrinas (Cabecera)
5083,La María
5084,Sector Tres Cruces
6000,Navarro
6001,El Hormiguero
6002,Pance
6003,La Buitrera
6004,Villacarmelo
6005,Los Andes
6006,Pichinde
6007,La Leonera
6008,Felidia
6009,El Saladito
6010,La Elvira
6011,La Castilla
6012,La Paz
6013,Montebelllo
6014,Golondrinas
